target	source	value
CREDIT OUTSIDE MCMASTER	CREDIT OUTSIDE MCMASTER	3
CRITICAL CARE	CRITICAL CARE	7
DEVELOPMENTAL PEDIATRICS/PEDIATRICS	DEVELOPMENTAL PEDIATRICS/PEDIATRICS	2
PAEDIATRICS	DEVELOPMENTAL PEDIATRICS/PEDIATRICS	2
DIAGNOSTIC RADIOLOGY	DIAGNOSTIC RADIOLOGY	28
MEDICINE	DIAGNOSTIC RADIOLOGY	2
DIVINITY COLLEGE CERTIFICATE OF CHRISTIAN STUDIES	DIVINITY COLLEGE CERTIFICATE OF CHRISTIAN STUDIES	2
DIVINITY COLLEGE MASTER OF ARTS CHRISTIAN STUDIES	DIVINITY COLLEGE MASTER OF ARTS CHRISTIAN STUDIES	6
BUSINESS 1	ECONOMICS	22
COMMERCE	ECONOMICS	13
CONTINUING	ECONOMICS	2
ECONOMICS	ECONOMICS	108
ENGINEERING 1 CO-OP	ECONOMICS	3
HONOURS BACHELOR OF COMMERCE	ECONOMICS	4
HONOURS ECONOMICS	ECONOMICS	19
HONOURS LIFE SCIENCES	ECONOMICS	2
HUMANITIES 1	ECONOMICS	3
IRREGULAR	ECONOMICS	7
MATHEMATICAL SCIENCE	ECONOMICS	2
PSYCHOLOGY	ECONOMICS	3
SOCIAL SCIENCES	ECONOMICS	17
SOCIAL SCIENCES 1	ECONOMICS	22
ELECTRICAL & BIOMEDICAL ENGINEERING	ELECTRICAL & BIOMEDICAL ENGINEERING	14
ENGINEERING 1	ELECTRICAL & BIOMEDICAL ENGINEERING	6
ELECTRICAL & BIOMEDICAL ENGINEERING	ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	2
ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	88
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	4
ENGINEERING 1	ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	5
ENGINEERING 1 CO-OP	ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	25
ELECTRICAL ENGINEERING	ELECTRICAL ENGINEERING	24
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL ENGINEERING	7
ENGINEERING 1	ELECTRICAL ENGINEERING	6
ELECTRICAL ENGINEERING & MANAGEMENT	ELECTRICAL ENGINEERING & MANAGEMENT	3
ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	53
ENGINEERING 1	ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	2
ENGINEERING 1 CO-OP	ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	12
ENGINEERING 1	ELECTRICAL ENGINEERING & SOCIETY	2
ELECTRICAL ENGINEERING & SOCIETY CO-OP	ELECTRICAL ENGINEERING & SOCIETY CO-OP	17
ENGINEERING 1 CO-OP	ELECTRICAL ENGINEERING & SOCIETY CO-OP	3
COMPUTER ENGINEERING CO-OP	ELECTRICAL ENGINEERING CO-OP	6
ELECTRICAL ENGINEERING	ELECTRICAL ENGINEERING CO-OP	7
ELECTRICAL ENGINEERING CO-OP	ELECTRICAL ENGINEERING CO-OP	201
ENGINEERING 1	ELECTRICAL ENGINEERING CO-OP	19
ENGINEERING 1 CO-OP	ELECTRICAL ENGINEERING CO-OP	61
SOFTWARE ENGINEERING CO-OP	ELECTRICAL ENGINEERING CO-OP	2
EMERGENCY MEDICINE	EMERGENCY MEDICINE	27
MEDICINE	EMERGENCY MEDICINE	3
ENERGY ENGINEERING TECHNOLOGIES	ENERGY ENGINEERING TECHNOLOGIES	79
ENGINEERING 1	ENGINEERING 1	15
ENGINEERING 1 CO-OP	ENGINEERING 1	5
LIFE SCIENCES 1	ENGINEERING 1	5
TECHNOLOGY 1	ENGINEERING 1	2
ENGINEERING 1 CO-OP	ENGINEERING 1 CO-OP	30
TECHNOLOGY 1	ENGINEERING 1 CO-OP	2
ENGINEERING 1	ENGINEERING PHYSICS	2
ENGINEERING PHYSICS	ENGINEERING PHYSICS	20
ENGINEERING PHYSICS CO-OP	ENGINEERING PHYSICS	3
ENGINEERING PHYSICS & MANAGEMENT	ENGINEERING PHYSICS & MANAGEMENT	2
ENGINEERING 1 CO-OP	ENGINEERING PHYSICS & MANAGEMENT CO-OP	6
ENGINEERING PHYSICS & MANAGEMENT CO-OP	ENGINEERING PHYSICS & MANAGEMENT CO-OP	15
ENGINEERING PHYSICS & SOCIETY	ENGINEERING PHYSICS & SOCIETY	2
ENGINEERING 1 CO-OP	ENGINEERING PHYSICS & SOCIETY CO-OP	5
ENGINEERING PHYSICS & SOCIETY CO-OP	ENGINEERING PHYSICS & SOCIETY CO-OP	6
ENGINEERING 1	ENGINEERING PHYSICS CO-OP	5
ENGINEERING 1 CO-OP	ENGINEERING PHYSICS CO-OP	24
ENGINEERING PHYSICS	ENGINEERING PHYSICS CO-OP	4
ENGINEERING PHYSICS CO-OP	ENGINEERING PHYSICS CO-OP	57
BUSINESS 1	ENGLISH	3
ENGLISH	ENGLISH	38
HONOURS ENGLISH	ENGLISH	4
HUMANITIES 1	ENGLISH	17
ENVIRONMENTAL & EARTH SCIENCES 1	ENVIRONMENTAL & EARTH SCIENCES 1	9
ENGINEERING 1 CO-OP	ENVIRONMENTAL SCIENCES	2
ENVIRONMENTAL & EARTH SCIENCES 1	ENVIRONMENTAL SCIENCES	8
ENVIRONMENTAL SCIENCES	ENVIRONMENTAL SCIENCES	26
PHYSICAL SCIENCES 1	ENVIRONMENTAL SCIENCES	2
SCIENCE	ENVIRONMENTAL SCIENCES	3
FAMILY MEDICINE	FAMILY MEDICINE	44
MEDICINE	FAMILY MEDICINE	11
FAMILY MEDICINE - NIAGARA	FAMILY MEDICINE - HALTON	7
MEDICINE	FAMILY MEDICINE - HALTON	4
FAMILY MEDICINE - NIAGARA	FAMILY MEDICINE - NIAGARA	8
FAMILY MEDICINE RURAL - BRAMPTON	FAMILY MEDICINE RURAL - BRAMPTON	9
FAMILY MEDICINE RURAL - COLLINGWOOD	FAMILY MEDICINE RURAL - COLLINGWOOD	3
MEDICINE	FAMILY MEDICINE RURAL - COLLINGWOOD	2
FAMILY MEDICINE RURAL - GRIMSBY	FAMILY MEDICINE RURAL - GRIMSBY	2
MEDICINE	FAMILY MEDICINE RURAL - GRIMSBY	2
FAMILY MEDICINE RURAL - KITCHENER/WATERLOO	FAMILY MEDICINE RURAL - KITCHENER/WATERLOO	19
MEDICINE	FAMILY MEDICINE RURAL - KITCHENER/WATERLOO	4
FAMILY MEDICINE - RURAL	FAMILY MEDICINE/RURAL - GRAND ERIE SIX NATIONS	3
FAMILY MEDICINE/RURAL - GRAND ERIE SIX NATIONS	FAMILY MEDICINE/RURAL - GRAND ERIE SIX NATIONS	3
MEDICINE	FAMILY MEDICINE/RURAL - GRAND ERIE SIX NATIONS	3
FRENCH	FRENCH	4
HONOURS FRENCH	FRENCH	2
GASTROENTEROLOGY	GASTROENTEROLOGY	9
INTERNAL MEDICINE	GASTROENTEROLOGY	2
GASTROENTEROLOGY/PEDIATRICS	GASTROENTEROLOGY/PEDIATRICS	2
INTERNAL MEDICINE	GENERAL INTERNAL MEDICINE	3
GENERAL PATHOLOGY	GENERAL PATHOLOGY	10
SURGERY	GENERAL SURGERY - NIAGARA	2
GEOGRAPHY	GEOGRAPHY	28
HONOURS GEOGRAPHY	GEOGRAPHY	4
