target	source	value
MEDICAL RADIATION SCIENCES	MEDICAL RADIATION SCIENCES - RADIOGRAPHY SPECIALIZATION	48
MEDICAL RADIATION SCIENCES	MEDICAL RADIATION SCIENCES - ULTRASONOGRAPHY SPECIALIZATION	36
MEDICAL RADIATION SCIENCES	MEDICAL RADIATION SCIENCES -RADIATION THERAPY SPECIALIZATION	24
MEDICAL RADIATION SCIENCES	SCIENCE	9
MEDICAL RADIATION SCIENCES	HONOURS BIOCHEMISTRY	1
MEDICAL RADIATION SCIENCES	COMMERCE	1
MEDICAL RADIATION SCIENCES	HONOURS MEDICAL & HEALTH PHYSICS	1
MUSIC 1	NULL	4
MUSIC 1	MUSIC 1	1
MUSIC 1	MUSIC	2
MUSIC 1	HONOURS ENGLISH	1
MUSIC 1	HONOURS GERONTOLOGY	1
MUSIC 1	HONOURS MUSIC	19
MUSIC 1	HONOURS MUSIC (MUSIC COGNITION)	3
PHYSICAL SCIENCES 1	NULL	14
PHYSICAL SCIENCES 1	PHYSICAL SCIENCES 1	5
PHYSICAL SCIENCES 1	HUMANITIES 1	2
PHYSICAL SCIENCES 1	TECHNOLOGY 1	1
PHYSICAL SCIENCES 1	ENVIRONMENTAL SCIENCES	2
PHYSICAL SCIENCES 1	LIFE SCIENCES	1
PHYSICAL SCIENCES 1	MATHEMATICAL SCIENCE	1
PHYSICAL SCIENCES 1	PHYSICAL SCIENCES	8
PHYSICAL SCIENCES 1	SCIENCE	4
PHYSICAL SCIENCES 1	HONOURS BIOCHEMISTRY	1
PHYSICAL SCIENCES 1	HONOURS CHEMISTRY	6
PHYSICAL SCIENCES 1	COMMERCE	1
PHYSICAL SCIENCES 1	HONOURS ENVIRONMENTAL SCIENCES	1
PHYSICAL SCIENCES 1	HONOURS EARTH & ENVIRONMENTAL SCIENCES	2
PHYSICAL SCIENCES 1	HONOURS GEOGRAPHY & ENVIRONMENTAL SCIENCES	1
PHYSICAL SCIENCES 1	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	2
PHYSICAL SCIENCES 1	HONOURS MATHEMATICS & PHYSICS	4
PHYSICAL SCIENCES 1	HONOURS MATHEMATICS & STATISTICS(MATHEMATICS SPECIALIZATION)	1
PHYSICAL SCIENCES 1	HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	1
PHYSICAL SCIENCES 1	HONOURS PHYSICS	11
PHYSICAL SCIENCES 1	HONOURS PHYSICS (ASTROPHYSICS SPECIALIZATION)	4
PHYSICAL SCIENCES 1	HONOURS MEDICAL & HEALTH PHYSICS	3
PHYSICAL SCIENCES 1	HONOURS LIFE SCIENCES	2
PHYSICAL SCIENCES 1	HONOURS BUSINESS INFORMATICS	1
STUDIO ART I	NULL	2
STUDIO ART I	HONOURS ART STUDIO	28
HUMANITIES 1	NULL	119
HUMANITIES 1	LIFE SCIENCES 1	1
HUMANITIES 1	HUMANITIES 1	48
HUMANITIES 1	SOCIAL SCIENCES 1	1
HUMANITIES 1	ANTHROPOLOGY	1
HUMANITIES 1	ART HISTORY	4
HUMANITIES 1	CLASSICS	3
HUMANITIES 1	ECONOMICS	3
HUMANITIES 1	ENGLISH	17
HUMANITIES 1	ENGLISH & INDIGENOUS STUDIES	1
HUMANITIES 1	FRENCH	1
HUMANITIES 1	GEOGRAPHY	2
HUMANITIES 1	HISTORY	10
HUMANITIES 1	HUMANITIES	20
HUMANITIES 1	MATHEMATICAL SCIENCE	1
HUMANITIES 1	PHILOSOPHY	15
HUMANITIES 1	POLITICAL SCIENCE	3
HUMANITIES 1	POLITICAL SCIENCE & SOCIAL WORK	1
HUMANITIES 1	SCIENCE	1
HUMANITIES 1	SOCIOLOGY	4
HUMANITIES 1	THEATRE & FILM STUDIES	12
HUMANITIES 1	LABOUR STUDIES	4
HUMANITIES 1	HONOURS ANTHROPOLOGY	8
HUMANITIES 1	HONOURS ANTHROPOLOGY & RELIGIOUS STUDIES	1
HUMANITIES 1	HONOURS ANTHROPOLOGY & SOCIOLOGY	1
HUMANITIES 1	HONOURS ART HISTORY	5
HUMANITIES 1	HONOURS ART HISTORY & COMMUNICATION STUDIES	1
HUMANITIES 1	HONOURS ART HISTORY & HISTORY	2
HUMANITIES 1	HONOURS ART HISTORY & MULTIMEDIA	2
HUMANITIES 1	HONOURS ART HISTORY & PHILOSOPHY	1
HUMANITIES 1	HONOURS CLASSICS	4
HUMANITIES 1	HONOURS CLASSICS & HISTORY	6
HUMANITIES 1	HONOURS CLASSICS & PHILOSOPHY	2
HUMANITIES 1	HONOURS CLASSICS & THEATRE & FILM STUDIES	1
HUMANITIES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & ENGLISH	1
HUMANITIES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & FRENCH	1
HUMANITIES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & HISTORY	1
HUMANITIES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & PEACE STUDIES	1
HUMANITIES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & PHILOSOPHY	1
HUMANITIES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & SOCIOLOGY	1
HUMANITIES 1	H CULTURAL STUDIES & CRITICAL THEORY & THEATRE & FILM ST	1
HUMANITIES 1	COMMERCE	3
HUMANITIES 1	HONOURS ECONOMICS	4
HUMANITIES 1	HONOURS ECONOMICS & POLITICAL SCIENCE	1
